Rank,Player,Account,Language,Twitter
APEX 日本人上位ランカーリスト 10月,,,,
,,,,
Rank,Player,,言語,
1,E8_Shooby,,e,
2,nvmessiahttv,,e,
3,Douyu BigBoSsFps,lcarus_Official,e,
4,popopo,NFT_zkYuTa,e,
5,Curiharaa,,j,
6,Luxfordy,Luxfordy,e,
7,the_1WaWaa,the_1Izumi,e,
8,xiaoyur,LaLaLandccc,c,
9,Hatsuyuki,Manatsu_o,j,
10,1-1,WC_PKHAO,e,
11,kahayashoutaa,,j,
12,JamesFearless,,e,
13,xcznm1234,,c,
14,DF_Demigod,,c,
15,IDGAF,MillionMelloK,c,
16,RESAY,bo2_RESAY_plzk,e,
17,Qingyu_U,aa83342049,c,
18,YiChenEnd,,c,
19,Naff,17Naff,e,
20,Tinnnan,,c,
21,Baiyinplayer,,c,
22,OliilooCC,,e,
23,SL_Dlwlrma,,c,
24,Fractolight,LastRecolection,j,
25,Awons,,e,
26,WuW_Jackson,,c,
27,Rhemzie,,e,
28,sinnogen,,e,
29,Cureda,,e,
30,Iam_Despea,,j,
31,Mqty_33,,j,
32,E8 Enoch,Brother_Enoch,e,
33,:(,VeryKuteUwU,e,
34,BalaGGbondTony,,e,
35,ONEMAGAZINE0DMG,,e,
36,SaveHana,,c,
37,Kawahirakoll,OBBBSSS,e,
38,AYYN0N,TTV_AYYN0N,e,
39,Gan0old4,LLogicc1,c,
40,nygo,AdrianZLuis,e,
41,LFT_KuGoddd,MRQBB,c,
42,7-1 Classic,WilcoxRaidXE,c,
43,P3NnYr0y41_T34,Roosamees,c,
44,LFO_moorebidTV,,e,
45,depreslyy,,e,
46,Subration,,e,
47,5965,SSVWXs,c,
48,SHUT SHU,aefafe,e,
49,ReptarRB,,e,
50,LFT_kanata YT,BT_kanata,j,
51,StrawVoV,,c,
52,koronnx_TTV,,j,
53,E8_Lilfredson,,e,
54,OAOAOAOA00AO,,j,
55,1mN0t3v4n,,c,
56,pinky1024,,c,
57,DODONGST,,c,
58,>w<,KuriyamaMiraiw,c,
59,2003 6 9,DearMercy,e,
60,Ratatouille,keywestfl,e,
61,Zzhutou123,,c,
62,Qiong9,Marshall_Kaw,c,
63,Limerence_Euphor,,e,
64,Nvwang_BlLI,,c,
65,VOLZZ,,j,
66,DS_Tian,,c,
67,innes,,e,
68,E8 Zachmazer,,e,
69,Ghoulden,Gold4im,e,
70,seongham8837,,e,
71,Sugar,Az_Trace,e,
72,@Lucid,dicuL,e,
73,AIM7s_food,,c,
74,lywc0323,,e,
75,GG,RoogKiller,e,
76,Bili_smallnew,,j,
77,REXUEQUBING,,c,
78,Ether,9Etherfps,e,
79,KK,kun6231,c,
80,Dark Magician,kinnnzu_u,e,
81,michael,mankstuh,e,
82,victorlol,,c,
83,carter!,cgk09,e,
84,whosdrake,godthyns,e,
85,0,wwhhiittee3028,c,
86,<3 <3 <3,diamondtester4k,e,
87,Heckk.,BBGGjackeylove,c,
88,MNK,DZ_W3AKNESS,e,
89,ALWRQ,,e,
90,byTOOEAZY,,c,
91,G5_b0ne,,c,
92,TropinDenis,ImTropinDenis,e,
93,Zzzinccc,,e,
94,sorryhuhu,,c,
95,wChocolateSUGARw,,e,
96,CherryB1essing,,j,
97,leopardklol,,c,
98,tttcheekyttt_SBI,,e,
99,Valak,StoweVT,e,
100,3mmmmmmm_O.o,AUH_3mmmmmmm,c,
101,Valak,,,
102,Youtuber,totototake,j,
103,KaanalScott,,c,
104,Keon | Twitch,,e,
105,Elevn-up,,e,
106,i9zb,,c,
107,heropom12,,j,
108,tttttt,ImNaoki,j,
109,LF,FTK_LFZzz,c,
110,@Yoshida Kaoru,CrowdBa_,j,
111,Vegeta_Zzz,zzj0328,e,
112,10Ye4h,ThomastheEnd,c,
113,AIMASSISTGOD,yoyof3,e,
114,Apryze,,e,
115,Twitch_,kyururu_menhera,j,
116,popguinrunaway,,c,
117,CMS_RedGhost,1226ov0,e,
118,APEX-66,PW-Apr_L626-VX,c,
119,Rainych,CATTCUTE,e,
120,Sun_Tiiiii,,e,
121,1LightO,,e,
122,Evieee_o0,,c,
123,I am so bored,,e,
124,imaginedragons24,,e,
125,1t1sNonsense,,c,
126,Ksiorank,,e,
127,Outlierrrs,,e,
128,LazyCat_ol,,e,
129,NightmareOn3,OpticX92,e,
130,luvReze,,c,
131,zstars-ke,,j,
132,7-1 Linear,yarimasne,j,
133,GForce-xperien,,e,
134,HAOYOYOYYYO,TPR-linchen,e,
135,SEEYOUNEXTGAM,V_Humble_Swag,c,
136,RyeDesuYo,,j,
137,Double_H,13PANGHU13,e,
138,FFF2222441122434,,e,
139,Neferpitou,furrysaikou,c,
140,tomato,Tulicc,c,
141,CT_#WILL,kuroi0ni,j,
142,Siki-o_0,,e,
143,ziranpple,,e,
144,Zmmi77,,e,
145,Tradition-61,,c,
146,TTv-ShaoEnn,,e,
147,Zsteezy,,e,
148,@Vander,MOISTLYTOXIC,e,
149,Sebastian Vettel,,c,
150,jerseyclubcris,,e,
151,I am Destined,,,
152,EG_R1kyyyyy,,,
153,JunAAz,,,
154,Breadd_bugggs,,,
155,YMILive,,,
156,refra1n.,,,
157,Peanut1024,,,
158,MDCM_YSS,,,
159,DooMR85,,,
160,Knightk1226,,,
161,Akimboh,,,
162,DeLeTe_AK,,,
163,badaim,,,
164,ElonMaskr,,,
165,Ns_Kiyuuuu,,,
166,FGO_Falling_TTv,,,
167,Stankiniii,,,
168,JuyzUi_TTV,,,
169,"""",,,
170,le0nnl,,,
171,TuuuNyaaaaa,,,
172,Ka9ome,,,
173,5129,,,
174,Glo3tRiL,,,
175,Paxey,,,
176,AGL-Kyrie,,,
177,Resultuhh,,,
178,[Twitch_reo4004],,,
179,720S_KW,,,
180,SweetQddo_O,,,
181,BQGGNB,,,
182,Jukezy,,,
183,OhSauci,,,
184,I Love Her,,,
185,NSD Axis,,,
186,Kar1uS-,,,
187,LFT_ToshiChan,,,
188,Krain_9m9,,,
189,FHIMOTEN,,,
190,HertZ_Mill,,,
191,ENEON,,,
192,Blamede3d,,,
193,E8_Shoby,,,
194,tororo_tps,,,
195,Secreluv,,,
196,Komorebi,,,
197,RD_PlushkaHDD,,,
198,jeromememe,,,
199,@Ka1neN,,,
200,homiee9,,,
202,,,,
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
210,,,,
211,,,,
212,,,,
213,,,,
214,,,,
215,,,,
216,,,,
217,,,,
218,,,,
219,,,,
220,,,,
221,,,,
222,,,,
223,,,,
224,,,,
225,,,,
226,,,,
227,,,,
228,,,,
229,,,,
230,,,,
231,,,,
232,,,,
233,,,,
234,,,,
235,,,,
236,,,,
237,,,,
238,,,,
239,,,,
240,,,,
241,,,,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
251,,,,
252,,,,
253,,,,
254,,,,
255,,,,
256,,,,
257,,,,
258,,,,
259,,,,
260,,,,
261,,,,
262,,,,
263,,,,
264,,,,
265,,,,
266,,,,
267,,,,
268,,,,
269,,,,
270,,,,
271,,,,
272,,,,
273,,,,
274,,,,
275,,,,
276,,,,
277,,,,
278,,,,
279,,,,
280,,,,
281,,,,
282,,,,
283,,,,
284,,,,
285,,,,
286,,,,
287,,,,
288,,,,
289,,,,
290,,,,
291,,,,
292,,,,
293,,,,
294,,,,
295,,,,
296,,,,
297,,,,
298,,,,
299,,,,
300,,,,
301,,,,
302,,,,
303,,,,
304,,,,
305,,,,
306,,,,
307,,,,
308,,,,
309,,,,
310,,,,
311,,,,
312,,,,
313,,,,
314,,,,
315,,,,
316,,,,
317,,,,
318,,,,
319,,,,
320,,,,
321,,,,
322,,,,
323,,,,
324,,,,
325,,,,
326,,,,
327,,,,
328,,,,
329,,,,
330,,,,
331,,,,
332,,,,
333,,,,
334,,,,
335,,,,
336,,,,
337,,,,
338,,,,
339,,,,
340,,,,
341,,,,
342,,,,
343,,,,
344,,,,
345,,,,
346,,,,
347,,,,
348,,,,
349,,,,
350,,,,
351,,,,
352,,,,
353,,,,
354,,,,
355,,,,
356,,,,
357,,,,
358,,,,
359,,,,
360,,,,
361,,,,
362,,,,
363,,,,
364,,,,
365,,,,
366,,,,
367,,,,
368,,,,
369,,,,
370,,,,
371,,,,
372,,,,
373,,,,
374,,,,
375,,,,
376,,,,
377,,,,
378,,,,
379,,,,
380,,,,
381,,,,
382,,,,
383,,,,
384,,,,
385,,,,
386,,,,
387,,,,
388,,,,
389,,,,
390,,,,
391,,,,
392,,,,
393,,,,
394,,,,
395,,,,
396,,,,
397,,,,
398,,,,
399,,,,
400,,,,
401,,,,
402,,,,
403,,,,
404,,,,
405,,,,
406,,,,
407,,,,
408,,,,
409,,,,
410,,,,
411,,,,
412,,,,
413,,,,
414,,,,
415,,,,
416,,,,
417,,,,
418,,,,
419,,,,
420,,,,
421,,,,
422,,,,
423,,,,
424,,,,
425,,,,
426,,,,
427,,,,
428,,,,
429,,,,
430,,,,
431,,,,
432,,,,
433,,,,
434,,,,
435,,,,
436,,,,
437,,,,
438,,,,
439,,,,
440,,,,
441,,,,
442,,,,
443,,,,
444,,,,
445,,,,
446,,,,
447,,,,
448,,,,
449,,,,
450,,,,
451,,,,
452,,,,
453,,,,
454,,,,
455,,,,
456,,,,
457,,,,
458,,,,
459,,,,
460,,,,
461,,,,
462,,,,
463,,,,
464,,,,
465,,,,
466,,,,
467,,,,
468,,,,
469,,,,
470,,,,
471,,,,
472,,,,
473,,,,
474,,,,
475,,,,
476,,,,
477,,,,
478,,,,
479,,,,
480,,,,
481,,,,
482,,,,
483,,,,
484,,,,
485,,,,
486,,,,
487,,,,
488,,,,
489,,,,
490,,,,
491,,,,
492,,,,
493,,,,
494,,,,
495,,,,
496,,,,
497,,,,
498,,,,
499,,,,
500,,,,
501,,,,
502,,,,
503,,,,
504,,,,
505,,,,
506,,,,
507,,,,
508,,,,
509,,,,
510,,,,
511,,,,
512,,,,
513,,,,
514,,,,
515,,,,
516,,,,
517,,,,
518,,,,
519,,,,
520,,,,
521,,,,
522,,,,
523,,,,
524,,,,
525,,,,
526,,,,
527,,,,
528,,,,
529,,,,
530,,,,
531,,,,
532,,,,
533,,,,
534,,,,
535,,,,
536,,,,
537,,,,
538,,,,
539,,,,
540,,,,
541,,,,
542,,,,
543,,,,
544,,,,
545,,,,
546,,,,
547,,,,
548,,,,
549,,,,
550,,,,
551,,,,
552,,,,
553,,,,
554,,,,
555,,,,
556,,,,
557,,,,
558,,,,
559,,,,
560,,,,
561,,,,
562,,,,
563,,,,
564,,,,
565,,,,
566,,,,
567,,,,
568,,,,
569,,,,
570,,,,
571,,,,
572,,,,
573,,,,
574,,,,
575,,,,
576,,,,
577,,,,
578,,,,
579,,,,
580,,,,
581,,,,
582,,,,
583,,,,
584,,,,
585,,,,
586,,,,
587,,,,
588,,,,
589,,,,
590,,,,
591,,,,
592,,,,
593,,,,
594,,,,
595,,,,
596,,,,
597,,,,
598,,,,
599,,,,
600,,,,
601,,,,
602,,,,
603,,,,
604,,,,
605,,,,
606,,,,
607,,,,
608,,,,
609,,,,
610,,,,
611,,,,
612,,,,
613,,,,
614,,,,
615,,,,
616,,,,
617,,,,
618,,,,
619,,,,
620,,,,
621,,,,
622,,,,
623,,,,
624,,,,
625,,,,
626,,,,
627,,,,
628,,,,
629,,,,
630,,,,
631,,,,
632,,,,
633,,,,
634,,,,
635,,,,
636,,,,
637,,,,
638,,,,
639,,,,
640,,,,
641,,,,
642,,,,
643,,,,
644,,,,
645,,,,
646,,,,
647,,,,
648,,,,
649,,,,
650,,,,
651,,,,
652,,,,
653,,,,
654,,,,
655,,,,
656,,,,
657,,,,
658,,,,
659,,,,
660,,,,
661,,,,
662,,,,
663,,,,
664,,,,
665,,,,
666,,,,
667,,,,
668,,,,
669,,,,
670,,,,
671,,,,
672,,,,
673,,,,
674,,,,
675,,,,
676,,,,
677,,,,
678,,,,
679,,,,
680,,,,
681,,,,
682,,,,
683,,,,
684,,,,
685,,,,
686,,,,
687,,,,
688,,,,
689,,,,
690,,,,
691,,,,
692,,,,
693,,,,
694,,,,
695,,,,
696,,,,
697,,,,
698,,,,
699,,,,
700,,,,
701,,,,
702,,,,
703,,,,
704,,,,
705,,,,
706,,,,
707,,,,
708,,,,
709,,,,
710,,,,
711,,,,
712,,,,
713,,,,
714,,,,
715,,,,
716,,,,
717,,,,
718,,,,
719,,,,
720,,,,
721,,,,
722,,,,
723,,,,
724,,,,
725,,,,
726,,,,
727,,,,
728,,,,
729,,,,
730,,,,
731,,,,
732,,,,
733,,,,
734,,,,
735,,,,
736,,,,
737,,,,
738,,,,
739,,,,
740,,,,
741,,,,
742,,,,
743,,,,
744,,,,
745,,,,
746,,,,
747,,,,
748,,,,
749,,,,
750,,,,
751,,,,
752,,,,
753,,,,
754,,,,
755,,,,
756,,,,
757,,,,
758,,,,
759,,,,
760,,,,
761,,,,
762,,,,
763,,,,
764,,,,
765,,,,
766,,,,
767,,,,
768,,,,
769,,,,
770,,,,
771,,,,
772,,,,
773,,,,
774,,,,
775,,,,
776,,,,
777,,,,
778,,,,
779,,,,
780,,,,
781,,,,
782,,,,
783,,,,
784,,,,
785,,,,
786,,,,
787,,,,
788,,,,
789,,,,
790,,,,
791,,,,
792,,,,
793,,,,
794,,,,
795,,,,
796,,,,
797,,,,
798,,,,
799,,,,
800,,,,
801,,,,
802,,,,
803,,,,
804,,,,
805,,,,
806,,,,
807,,,,
808,,,,
809,,,,
810,,,,
811,,,,
812,,,,
813,,,,
814,,,,
815,,,,
816,,,,
817,,,,
818,,,,
819,,,,
820,,,,
821,,,,
822,,,,
823,,,,
824,,,,
825,,,,
826,,,,
827,,,,
828,,,,
829,,,,
830,,,,
831,,,,
832,,,,
833,,,,
834,,,,
835,,,,
836,,,,
837,,,,
838,,,,
839,,,,
840,,,,
841,,,,
842,,,,
843,,,,
844,,,,
845,,,,
846,,,,
847,,,,
Rank,Player,Account,Language,Twitter
1,twitch.tv/reptar,ReptarRB,e,
2,LG_WeThePeople1,TTV_WeThePeople1,e,
3,COL_KIMCHI,COL_KIMCHI,e,
4,Enemy,DOJO_Enemy,e,
5,1Xynew,1Xynew,e,
6,Bear,ATTO_FPS,?,
7,Assault,GodAssault,e,
8,Magnesium Clutch,MgCiutch-TTV,e,
9,HisWattson,HisWattsonTwitch,e,
10,N8V Mamba,N8V_Mamba,e,
11,OXG Vein,OXG_Vein,e,
12,AGL_QQ-w-,SakurasCrying,c,
13,nvmessiahttv,nvmessiahttv,e,
14,SuperSuyyy,SuperSuyyy,?,
15,Keon | Twitch,KeonBergie,e,
16,Returnx_O,Returnx_O,c,
17,the_1WaWaa,the_1WaWaa,?,
18,DOUYU_ckkongbai,DOUYU_ckkongbai,c,
19,Boring2157,Nirvana_WTD,c,
20,twitch.tv/Naff,17Naff,e,
21,Fuhhnq,777Fuhhnq,e,
22,Stankiniii,Stankiniii,e,
23,goatmeep1,Dolorese,c,
24,FURIA_Albralelie,FURIA_Albralelie,e,
25,Rileymekinac,Rileymekinac,e,
26,Yukoi,YukoiMATE,?,
27,Dezignful,Dezignful,?,
